ts,price,date
1762473600,4.150898316623748e-05,2025-11-07
1762560000,2.916261659821662e-05,2025-11-08
1762646400,1.7267371102809844e-05,2025-11-09
1762732800,1.082109068382231e-05,2025-11-10
1762819200,3.8546845369028665e-05,2025-11-11
1762905600,4.308334828579634e-05,2025-11-12
1762992000,5.799458382900396e-05,2025-11-13
1763078400,0.0001912643174413272,2025-11-14
1763164800,0.00013870748562209116,2025-11-15
1763251200,9.954778443631559e-05,2025-11-16
1763337600,8.647301745814112e-05,2025-11-17
1763424000,8.571351249919445e-05,2025-11-18
1763510400,5.231944313092611e-05,2025-11-19
1763596800,0.00014132311023571308,2025-11-20
1763683200,0.0001267194858552514,2025-11-21
1763769600,9.014384480426246e-05,2025-11-22
1763856000,0.00013649177426470853,2025-11-23
1763942400,0.00018888470665807394,2025-11-24
